UF,id,Cidade,Status,Observações,Falhas
SP,sp_pedreira,Pedreira,True,,
SP,sp_alvares_machado,Alvares machado,True,,
SP,sp_serrana,Serrana,True,,
SP,sp_novo_horizonte,Novo Horizonte,True,,
SP,sp_campos_do_jordao,Campos do Jordão,True,,
SP,sp_capao_bonito,Capão Bonito,True,,
SP,sp_jau,Jau,True,,
SP,sp_tatui,Tatui,False,BaseUrl não funciona,20.0
SP,sp_mogi_mirim,Mogi Mirim,False,captcha challenge error,21.0
SP,sp_leme,Leme,True,,
SP,sp_cacapava,Caçapava,True,,
SP,sp_caieiras,Caieiras,True,,
SP,sp_ubatuba,Ubatuba,True,,
SP,sp_mococa,Mococa,True,,
SP,sp_cerquilho,Cerquilho,True,,
SP,sp_guaira,Guaira,True,,
SP,sp_espirito_santo_do_pinhal,Espirito Santo do Pinhal,True,,
SP,sp_socorro,Socorro,True,,
SP,sp_capivari,Capivari,False,captcha challenge error,22.0
SP,sp_tiete,Tietê,True,,
SP,sp_pirassununga,Pirassununga,True,,
SP,sp_peruibe,Peruíbe,True,,
SP,sp_bertioga,Bertioga,True,,
SP,sp_itanhaem,Itanhaém,True,,
SP,sp_registro,Registro,True,,
SP,sp_santa_isabel,Santa Isabel,False,BaseUrl não funciona,23.0
SP,sp_serra_negra,Serra Negra,True,,
SP,sp_cajati,Cajati,True,,
SP,sp_caraguatatuba,Caraguatuba,True,,
SP,sp_cubatao,Cubatão,True,,
SP,sp_sao_caetano_do_sul,São Caetano do Sul,True,,
SP,sp_osvaldo_cruz,Osvaldo Cruz,True,,
SP,sp_conchal,Conchal,True,,
SP,sp_descalvado,Descalvado,True,,
SP,sp_casa_branca,Casa Branca,True,,
SP,sp_barueri,Barueri,True,,
SP,sp_suzano,Suzano,False,BaseUrl não funciona,24.0
SP,sp_limeira,Limeira,True,,
SP,sp_sumare,Sumaré,True,,
SP,sp_taboao_da_serra,Taboão da Serra,True,,
SP,sp_indaiatuba,Indaiatuba,True,,
SP,sp_sao_carlos,São Carlos,True,,
SP,sp_embu_das_artes,Embu das Artes,False,BaseUrl não funciona,25.0
SP,sp_ferraz_de_vasconcelos,Ferraz de Vasconcelos,True,,
SP,sp_francisco_morato,Francisco Morato,True,,
SP,sp_atibaia,Atibaia,True,,
SP,sp_itapecerica_da_serra,Itapecirica da Serra,True,,
SP,sp_itapetininga,Itapetininga,True,,
SP,sp_santana_de_parnaiba,Santana de Parnaíba,False,BaseUrl não funciona,26.0
SP,sp_barretos,Barretos,True,,
SP,sp_varzea_paulista,Varzea Paulista,True,,
SP,sp_bebedouro,Bebedouro,True,,
SP,sp_biritiba_mirim,Biritiba Mirim,True,,
SP,sp_lencois_paulista,Lençois Paulistas,False,Problema no referenciamento do pdf,27.0
SP,sp_ilha_solteira,Ilha Solteira,True,,
SP,sp_itu,Itu,True,,
SP,sp_laranjal_paulista,Laranja Paulista,True,,
SP,sp_adamantina,Adamantina,False,captcha challenge error,28.0
SP,sp_barrinha,Barrinha,False,BaseUrl não funciona,29.0
SP,sp_juquitiba,Juquitiba,False,BaseUrl não funciona,30.0
SP,sp_fernandopolis,Fernandopolis,False,BaseUrl não funciona,31.0
MG,mg_belo_horizonte,Belo Horizonte,True,,
MG,mg_uberlandia,Uberlândia,True,,
MG,mg_contagem,Contagem,True,,
MG,mg_juiz_de_fora,Juiz de Fora,False,,1.0
MG,mg_montes_claros,Montes Claros,True,,
MG,mg_betim,Betim,True,,
MG,mg_uberaba,Uberaba,False,,2.0
MG,mg_ribeirao_das_neves,Ribeirão das Neves,True,,
MG,mg_governador_valadares,Governador Valadares,True,,
MG,mg_divinopolis,Divinópolis,True,,
MG,mg_ipatinga,Ipatinga,True,,
MG,mg_sete_lagoas,Sete Lagoas,True,,
MG,mg_santa_luzia,Santa Luzia,True,,
MG,mg_ibirite,Ibirité,True,,
MG,mg_pocos_de_caldas,Poços de Caldas,False,,3.0
MG,mg_patos_de_minas,Patos de Minas,True,,
MG,mg_pouso_alegre,Pouso Alegre,True,,
MG,mg_teofilo_otoni,Teófilo Otoni,True,,
MG,mg_varginha,Varginha,True,,
MG,mg_conselheiro_lafaiete,Conselheiro Lafaiete,True,,
MG,mg_sabara,Sabará,False,,4.0
MG,mg_vespasiano,Vespasiano,True,,
MG,mg_barbacena,Barbacena,True,,
MG,mg_araguari,Araguari,True,,
MG,mg_itabira,Itabira,True,,
MG,mg_passos,Passos,False,"Passos não divulga mais diarios oficiais, mp ta investingando",5.0
MG,mg_nova_lima,Nova Lima,False,,6.0
MG,mg_araxa,Araxá,True,,
